순위,종목명,검색비율,현재가,전일비,등락률,거래량,시가,고가,저가,PER,ROE
1,삼성전자,16.85%,"57,800",상승100,+0.17%,"8,611,352","57,500","58,200","57,100",14.13,4.15
2,SK하이닉스,3.81%,"191,600","상승3,800",+2.02%,"958,103","188,500","192,300","188,000",55.83,-15.61
3,유한양행,3.52%,"146,800","하락7,200",-4.68%,"1,208,879","154,100","155,500","146,400",79.70,6.74
4,태성,2.65%,"32,350","상승1,150",+3.69%,"1,640,542","33,150","38,800","32,350",389.76,-4.48
5,YG PLUS,2.10%,"4,820",상승300,+6.64%,"15,172,568","4,980","5,170","4,530",47.25,14.12
6,한일단조,2.09%,"3,520",상승565,+19.12%,"51,625,891","3,030","3,685","2,975",23.95,6.46
7,네이처셀,1.97%,"10,220","상승1,130",+12.43%,"3,321,760","9,430","11,260","9,300",-116.14,-19.70
8,두산에너빌리티,1.86%,"20,100",하락550,-2.66%,"2,370,657","20,650","20,800","20,100",81.05,0.78
9,현대차,1.73%,"239,000","상승4,500",+1.92%,"253,759","236,500","241,000","234,000",5.18,13.68
10,한켐,1.58%,"21,800","하락1,000",-4.39%,"3,926,018","22,450","25,250","21,650",N/A,24.14
11,HLB,1.43%,"67,100","하락2,200",-3.17%,"361,838","69,100","69,600","67,000",-41.34,-32.55
12,기아,1.38%,"92,400",하락100,-0.11%,"782,699","92,000","92,700","91,100",3.87,20.44
13,한미반도체,1.32%,"100,500","상승1,700",+1.72%,"403,491","98,800","101,800","98,800",61.96,55.54
14,동서,1.30%,"22,200","하락3,100",-12.25%,"1,277,893","23,200","23,700","21,500",13.31,9.23
15,LG에너지솔루션,1.18%,"386,500","상승5,000",+1.31%,"104,343","381,500","394,000","381,500",-538.30,6.36
16,알테오젠,1.14%,"375,000","하락8,500",-2.22%,"167,997","380,000","383,500","374,500","-15,625.00",-2.27
17,현대로템,1.12%,"66,600",상승500,+0.76%,"602,111","66,300","67,100","65,000",29.59,10.06
18,펩트론,1.11%,"88,100","하락4,800",-5.17%,"536,553","92,000","94,300","87,700",-95.66,-35.69
19,루미르,1.11%,"12,860",상승300,+2.39%,"3,867,825","13,170","13,670","12,600",-30.33,-24.89
20,SG,1.10%,"3,040",상승165,+5.74%,"20,133,816","3,070","3,310","3,010",-6.24,-47.71
21,셀트리온,1.10%,"186,600",하락900,-0.48%,"161,517","187,900","189,600","186,600",105.42,5.07
22,에코프로비엠,1.07%,"155,700","하락1,000",-0.64%,"132,171","156,200","159,100","155,100",-96.89,-0.64
23,POSCO홀딩스,1.06%,"332,000",상승500,+0.15%,"69,876","331,000","336,000","330,500",20.76,3.18
24,LG전자,1.04%,"99,800","상승3,500",+3.63%,"351,228","97,200","100,300","97,200",16.21,3.69
25,카카오,1.03%,"37,400",상승50,+0.13%,"335,038","37,750","37,950","37,050",-17.10,-10.26
26,한국파마,0.99%,"21,650","상승1,600",+7.98%,"2,574,386","22,500","24,650","21,600",78.73,0.13
27,NAVER,0.97%,"171,600",상승400,+0.23%,"175,147","172,000","173,400","170,800",18.18,4.41
28,이수페타시스,0.96%,"45,800","상승2,300",+5.29%,"1,706,019","43,600","46,400","43,500",51.69,19.51
29,한화에어로스페이스,0.96%,"378,500","하락7,000",-1.82%,"98,006","385,000","388,000","378,000",68.53,25.60
30,삼성바이오로직스,0.95%,"1,065,000","상승6,000",+0.57%,"39,301","1,070,000","1,095,000","1,065,000",73.71,9.12
