bno,btitle,bcontent,bgroup,bstep,bindent,bhit,bdate,bfile,member
1,Safety Technician IV,75525 Delaware Center,1,0,0,0,3/23/24,,aaa
2,Data Coordinator,65 Pine View Drive,2,0,0,0,7/29/24,,aaa
3,Electrical Engineer,36454 Lunder Alley,3,0,0,0,5/19/24,,aaa
4,Biostatistician III,4559 Scoville Park,4,0,0,0,7/19/24,,aaa
5,Teacher,28 Westend Crossing,5,0,0,0,12/1/23,,aaa
6,Staff Accountant I,73406 Summerview Center,6,0,0,0,6/2/24,,aaa
7,Quality Control Specialist,834 Gina Place,7,0,0,0,9/25/24,,aaa
8,Web Designer II,3 Mitchell Court,8,0,0,0,5/5/24,,aaa
9,Data Coordinator,432 Evergreen Crossing,9,0,0,0,10/2/24,,aaa
10,Analyst Programmer,6 Pawling Circle,10,0,0,0,11/30/23,,aaa
11,Executive Secretary,1830 Shasta Alley,11,0,0,0,8/4/24,,aaa
12,Physical Therapy Assistant,49 Sullivan Plaza,12,0,0,0,3/27/24,,aaa
13,Information Systems Manager,47 Del Sol Avenue,13,0,0,0,1/26/24,,aaa
14,Project Manager,02163 Dwight Pass,14,0,0,0,1/18/24,,aaa
15,Computer Systems Analyst II,4639 Melby Pass,15,0,0,0,1/30/24,,aaa
16,Assistant Manager,100 Meadow Vale Terrace,16,0,0,0,5/24/24,,aaa
17,Quality Engineer,179 Kingsford Center,17,0,0,0,1/10/24,,aaa
18,Senior Quality Engineer,3 Carpenter Hill,18,0,0,0,2/11/24,,aaa
19,Financial Analyst,8 Sauthoff Drive,19,0,0,0,4/6/24,,aaa
20,Geological Engineer,4091 Monica Lane,20,0,0,0,1/15/24,,aaa
21,Speech Pathologist,647 Burning Wood Park,21,0,0,0,11/26/23,,aaa
22,Senior Editor,20413 Bluestem Point,22,0,0,0,6/20/24,,aaa
23,Budget/Accounting Analyst IV,24077 Nelson Avenue,23,0,0,0,3/8/24,,aaa
24,VP Product Management,01 Rockefeller Drive,24,0,0,0,7/4/24,,aaa
25,Environmental Specialist,59531 Butternut Plaza,25,0,0,0,4/1/24,,aaa
26,Assistant Professor,82 Goodland Place,26,0,0,0,10/17/24,,aaa
27,Food Chemist,6914 Holmberg Point,27,0,0,0,9/15/24,,aaa
28,Media Manager IV,2 Corscot Crossing,28,0,0,0,12/7/23,,aaa
29,Product Engineer,89968 Nova Crossing,29,0,0,0,6/9/24,,aaa
30,VP Sales,432 Debs Lane,30,0,0,0,1/17/24,,aaa
31,Senior Developer,79580 Burrows Road,31,0,0,0,8/21/24,,aaa
32,Legal Assistant,0872 Butternut Parkway,32,0,0,0,4/22/24,,aaa
33,Senior Cost Accountant,635 Dakota Circle,33,0,0,0,9/9/24,,aaa
34,Recruiter,5 Ridgeway Plaza,34,0,0,0,5/13/24,,aaa
35,Senior Quality Engineer,69 Westend Pass,35,0,0,0,5/28/24,,aaa
36,Payment Adjustment Coordinator,19481 Sunbrook Point,36,0,0,0,8/23/24,,aaa
37,Desktop Support Technician,0547 Mitchell Plaza,37,0,0,0,3/26/24,,aaa
38,Accounting Assistant I,3 Clemons Way,38,0,0,0,7/29/24,,aaa
39,Research Assistant IV,940 Goodland Place,39,0,0,0,1/7/24,,aaa
40,Statistician III,672 Johnson Junction,40,0,0,0,3/4/24,,aaa
41,Tax Accountant,3 Fairfield Drive,41,0,0,0,12/5/23,,aaa
42,Information Systems Manager,3326 Carey Point,42,0,0,0,11/12/24,,aaa
43,Actuary,327 Mallard Junction,43,0,0,0,6/4/24,,aaa
44,Nurse Practicioner,51 Buell Center,44,0,0,0,11/20/24,,aaa
45,Marketing Assistant,46 John Wall Alley,45,0,0,0,3/19/24,,aaa
46,Information Systems Manager,3318 Northridge Plaza,46,0,0,0,6/2/24,,aaa
47,Engineer II,1 Ludington Drive,47,0,0,0,2/20/24,,aaa
48,Quality Engineer,35354 Nancy Plaza,48,0,0,0,5/16/24,,aaa
49,Software Test Engineer IV,04992 Bultman Park,49,0,0,0,2/7/24,,aaa
50,Assistant Media Planner,13 Starling Plaza,50,0,0,0,3/3/24,,aaa
51,Human Resources Assistant II,75546 Summer Ridge Crossing,51,0,0,0,12/18/23,,aaa
52,Recruiter,385 Maple Place,52,0,0,0,3/21/24,,aaa
53,Nurse Practicioner,513 Lunder Crossing,53,0,0,0,8/15/24,,aaa
54,Environmental Specialist,42 Jenna Way,54,0,0,0,8/6/24,,aaa
55,VP Quality Control,0416 Porter Place,55,0,0,0,9/15/24,,aaa
56,Systems Administrator IV,2392 Waywood Plaza,56,0,0,0,11/10/24,,aaa
57,Analyst Programmer,1660 Carpenter Place,57,0,0,0,5/14/24,,aaa
58,Design Engineer,045 Melby Way,58,0,0,0,8/13/24,,aaa
59,Tax Accountant,40800 Farwell Pass,59,0,0,0,6/9/24,,aaa
60,Senior Cost Accountant,58 Northland Terrace,60,0,0,0,3/21/24,,aaa
61,Media Manager I,84087 Manitowish Lane,61,0,0,0,5/12/24,,aaa
62,Senior Sales Associate,1 Morning Park,62,0,0,0,7/29/24,,aaa
63,Editor,84 Anzinger Road,63,0,0,0,10/17/24,,aaa
64,Compensation Analyst,06 Becker Hill,64,0,0,0,9/30/24,,aaa
65,Marketing Manager,86 Forest Point,65,0,0,0,9/28/24,,aaa
66,Associate Professor,541 Scott Court,66,0,0,0,8/7/24,,aaa
67,Payment Adjustment Coordinator,723 Leroy Terrace,67,0,0,0,5/2/24,,aaa
68,Product Engineer,2 Jenna Alley,68,0,0,0,10/9/24,,aaa
69,Senior Cost Accountant,84196 Hagan Terrace,69,0,0,0,7/26/24,,aaa
70,VP Accounting,6742 Derek Court,70,0,0,0,3/26/24,,aaa
71,Information Systems Manager,5223 Hintze Place,71,0,0,0,5/31/24,,aaa
72,Community Outreach Specialist,3 Towne Way,72,0,0,0,4/28/24,,aaa
73,Help Desk Technician,5 Eggendart Hill,73,0,0,0,10/13/24,,aaa
74,Software Engineer IV,2596 Laurel Junction,74,0,0,0,1/28/24,,aaa
75,Information Systems Manager,5 Sullivan Pass,75,0,0,0,4/8/24,,aaa
76,Chemical Engineer,363 Fuller Court,76,0,0,0,9/24/24,,aaa
77,Senior Cost Accountant,4 Sycamore Plaza,77,0,0,0,10/30/24,,aaa
78,Help Desk Operator,628 Fulton Alley,78,0,0,0,7/26/24,,aaa
79,Civil Engineer,99 Sloan Point,79,0,0,0,4/4/24,,aaa
80,Marketing Assistant,55371 Randy Avenue,80,0,0,0,8/16/24,,aaa
81,Account Representative II,65 Moland Way,81,0,0,0,12/10/23,,aaa
82,Analyst Programmer,90 Reindahl Park,82,0,0,0,3/25/24,,aaa
83,Human Resources Manager,5076 Eggendart Court,83,0,0,0,2/19/24,,aaa
84,Clinical Specialist,99658 Tennessee Parkway,84,0,0,0,6/20/24,,aaa
85,Speech Pathologist,1 Garrison Street,85,0,0,0,5/28/24,,aaa
86,Quality Control Specialist,0295 Donald Junction,86,0,0,0,2/20/24,,aaa
87,Speech Pathologist,13 Oak Valley Parkway,87,0,0,0,9/22/24,,aaa
88,Desktop Support Technician,87839 Haas Alley,88,0,0,0,6/19/24,,aaa
89,General Manager,8094 Michigan Pass,89,0,0,0,1/15/24,,aaa
90,Data Coordinator,584 Meadow Valley Hill,90,0,0,0,9/14/24,,aaa
91,Social Worker,2 Fallview Junction,91,0,0,0,6/12/24,,aaa
92,Staff Accountant IV,07025 Macpherson Circle,92,0,0,0,11/16/24,,aaa
93,Speech Pathologist,215 Gateway Road,93,0,0,0,7/25/24,,aaa
94,Senior Developer,9 Lakewood Center,94,0,0,0,4/14/24,,aaa
95,Software Test Engineer IV,979 International Hill,95,0,0,0,7/13/24,,aaa
96,Director of Sales,8269 Del Sol Drive,96,0,0,0,10/26/24,,aaa
97,Data Coordinator,6 Center Crossing,97,0,0,0,4/9/24,,aaa
98,Human Resources Assistant II,18 Harper Lane,98,0,0,0,3/13/24,,aaa
99,Recruiter,26 Saint Paul Junction,99,0,0,0,8/29/24,,aaa
100,Staff Scientist,7706 Quincy Plaza,100,0,0,0,11/21/24,,aaa
