bno,btitle,bcontent,bgroup,bstep,bindent,bhit,bdate,bfile,member_id
1,Director of Sales,01 Hermina Way,1,0,0,0,2024-02-29,,aaa
2,Office Assistant II,406 Westerfield Terrace,2,0,0,0,2024-06-10,,aaa
3,Senior Sales Associate,916 Maryland Place,3,0,0,0,2024-02-14,,aaa
4,Software Engineer IV,32 Hoffman Pass,4,0,0,0,2024-10-21,,aaa
5,Business Systems Development Analyst,7 Reinke Drive,5,0,0,0,2024-09-28,,aaa
6,Budget/Accounting Analyst II,40 Lawn Junction,6,0,0,0,2024-01-15,,aaa
7,Account Executive,0 Walton Terrace,7,0,0,0,2023-12-10,,aaa
8,Computer Systems Analyst III,44 Morning Point,8,0,0,0,2024-11-21,,aaa
9,Food Chemist,99379 Lillian Center,9,0,0,0,2023-12-13,,aaa
10,Operator,22890 Mockingbird Drive,10,0,0,0,2024-08-16,,aaa
11,Web Developer II,070 3rd Way,11,0,0,0,2024-04-16,,aaa
12,Senior Quality Engineer,60 Rusk Way,12,0,0,0,2023-12-28,,aaa
13,Help Desk Technician,021 Fremont Alley,13,0,0,0,2024-06-21,,aaa
14,Director of Sales,84 Knutson Place,14,0,0,0,2024-01-23,,aaa
15,Account Coordinator,98 Ronald Regan Circle,15,0,0,0,2024-04-22,,aaa
16,Help Desk Technician,139 Nelson Pass,16,0,0,0,2024-06-18,,aaa
17,Graphic Designer,04251 Monterey Parkway,17,0,0,0,2023-12-16,,aaa
18,Accountant I,687 Grim Road,18,0,0,0,2024-03-19,,aaa
19,Senior Cost Accountant,334 Hansons Plaza,19,0,0,0,2024-07-18,,aaa
20,Geologist IV,58 Paget Terrace,20,0,0,0,2024-11-07,,aaa
21,Social Worker,995 Lerdahl Street,21,0,0,0,2024-08-21,,aaa
22,Pharmacist,20697 Stephen Junction,22,0,0,0,2024-07-30,,aaa
23,Nuclear Power Engineer,2516 Bashford Lane,23,0,0,0,2024-08-08,,aaa
24,Quality Control Specialist,74591 Hansons Lane,24,0,0,0,2024-09-08,,aaa
25,Environmental Tech,1375 Sullivan Parkway,25,0,0,0,2024-07-12,,aaa
26,Environmental Tech,09138 Redwing Place,26,0,0,0,2024-09-10,,aaa
27,Programmer Analyst I,3 Barnett Pass,27,0,0,0,2024-07-10,,aaa
28,Executive Secretary,803 Kingsford Trail,28,0,0,0,2024-05-30,,aaa
29,Accounting Assistant I,28059 Bowman Avenue,29,0,0,0,2024-02-15,,aaa
30,Structural Engineer,31715 Golf Course Trail,30,0,0,0,2024-07-21,,aaa
31,Registered Nurse,92 Cottonwood Plaza,31,0,0,0,2024-07-06,,aaa
32,Research Associate,73 Lakewood Gardens Avenue,32,0,0,0,2024-09-13,,aaa
33,Physical Therapy Assistant,16 Hallows Pass,33,0,0,0,2024-02-10,,aaa
34,VP Sales,8 Helena Terrace,34,0,0,0,2024-05-30,,aaa
35,Database Administrator I,4 Gulseth Drive,35,0,0,0,2024-01-19,,aaa
36,Food Chemist,624 Lakewood Gardens Drive,36,0,0,0,2024-03-08,,aaa
37,Account Representative II,3 Becker Street,37,0,0,0,2024-10-26,,aaa
38,Senior Cost Accountant,6 Crescent Oaks Pass,38,0,0,0,2024-10-07,,aaa
39,Safety Technician IV,18 Old Shore Hill,39,0,0,0,2024-01-23,,aaa
40,Tax Accountant,9837 Arapahoe Avenue,40,0,0,0,2024-04-30,,aaa
41,VP Accounting,0568 Pine View Junction,41,0,0,0,2024-11-09,,aaa
42,Quality Control Specialist,0501 Blaine Parkway,42,0,0,0,2024-01-26,,aaa
43,Editor,71 Becker Way,43,0,0,0,2024-03-11,,aaa
44,Budget/Accounting Analyst I,9 Marquette Hill,44,0,0,0,2024-04-13,,aaa
45,Software Consultant,923 Carey Way,45,0,0,0,2024-04-30,,aaa
46,Accounting Assistant I,89629 Surrey Avenue,46,0,0,0,2024-06-26,,aaa
47,Pharmacist,595 Almo Avenue,47,0,0,0,2024-06-30,,aaa
48,Senior Editor,9 Scott Junction,48,0,0,0,2024-08-26,,aaa
49,Director of Sales,49824 Scoville Circle,49,0,0,0,2024-04-11,,aaa
50,VP Sales,6384 Larry Point,50,0,0,0,2024-01-24,,aaa
51,Software Engineer I,7092 Prairieview Pass,51,0,0,0,2024-02-04,,aaa
52,Junior Executive,347 Cordelia Street,52,0,0,0,2024-02-03,,aaa
53,Computer Systems Analyst I,3357 Dexter Drive,53,0,0,0,2024-03-13,,aaa
54,Community Outreach Specialist,30652 Corscot Trail,54,0,0,0,2024-03-01,,aaa
55,Graphic Designer,6559 Carberry Parkway,55,0,0,0,2024-06-21,,aaa
56,Mechanical Systems Engineer,036 Northwestern Street,56,0,0,0,2024-09-09,,aaa
57,Account Executive,197 Saint Paul Avenue,57,0,0,0,2024-07-31,,aaa
58,Senior Developer,04928 Westport Circle,58,0,0,0,2024-07-19,,aaa
59,Registered Nurse,26 Kipling Point,59,0,0,0,2024-02-19,,aaa
